Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2016,Noah Syndergaard,Mets,183.2,98.9,,,98.5,90.4,91.6,83.1,,,,11762
2007,Felix Hernandez,Mariners,190.1,98.5,,,97.4,88,90.1,83.9,,,,4772
2014,Yordano Ventura,Royals,183,98.2,94.7,,97.7,88.4,,83.7,,,,11855
2018,Luis Severino,Yankees,191.1,97.9,92.5,,,88.4,88.4,,,,,15890
2017,Luis Severino,Yankees,193.1,97.7,,,,87.4,88.5,,,,,15890
2014,Garrett Richards,Angels,168.2,97.1,,,96.8,89.5,87.5,79.7,,,,9784
2015,Yordano Ventura,Royals,163.1,97.1,92.6,,96.7,87.9,,84.5,,,,11855
2016,Carlos Martinez,Cardinals,195.1,97,,,95.2,87.4,85.5,77.8,,,,11682
2018,Gerrit Cole,Astros,200.1,97,,,96.5,88.2,89.1,82.9,,,,13125
2013,Matt Harvey,Mets,178.1,97,,,,88.2,90.9,84.6,,,,11713
2014,Nathan Eovaldi,Marlins,199.2,96.8,,89.7,96.8,88.3,87.2,76.8,,,,9132
2018,Mike Foltynewicz,Braves,183,96.8,,,97,88.3,87.2,80.4,,,,10811
2015,Carlos Martinez,Cardinals,179.2,96.7,,,95.8,87.8,86,,,,,11682
2016,Yordano Ventura,Royals,186,96.7,,,96.9,86.7,,83.7,,,,11855
2017,Carlos Martinez,Cardinals,205,96.7,,,95.1,88,85.4,79.2,,,,11682
2018,Jacob deGrom,Mets,217,96.7,,,96.1,89.6,91.6,83.2,,,,10954
2015,Matt Harvey,Mets,189.1,96.6,,,,89,90.3,84.5,,,,11713
2018,Charlie Morton,Astros,167,96.6,89.1,87.7,95.5,87.4,86.7,80,,,,4676
2009,Ubaldo Jimenez,Rockies,218,96.5,,87,96.5,,86.7,77.9,,,,3374
2018,Zack Wheeler,Mets,182.1,96.5,,90,,89.3,91.5,79.8,,,,10310
2014,Wily Peralta,Brewers,198.2,96.5,,,96.7,85,86.4,,,,,7738
2012,David Price,Rays,211,96.5,89.9,,96.2,84.9,,79.6,,,,3184
2018,Blake Snell,Rays,180.2,96.5,,,,88.1,88.7,81.8,,,,13543
2015,Gerrit Cole,Pirates,208,96.5,,,96.1,89,87.7,82.1,,,,13125
2018,Luis Castillo,Reds,169.2,96.4,,,96.1,86.8,84,,,,,15689
2017,Gerrit Cole,Pirates,203,96.4,,,96,89.1,88.5,80.8,,,,13125
2010,Ubaldo Jimenez,Rockies,221.2,96.3,93.7,88.2,96.7,,86.8,79.1,,,,3374
2009,Justin Verlander,Tigers,240,96.3,,,,84.6,88.5,80.7,,,,8700
2007,A.J. Burnett,Blue Jays,165.2,96.3,,,95.3,88.9,88.3,82.9,,,,512
2016,Jose Fernandez,Marlins,182.1,96.3,,,93.6,89.2,,84.7,75.4,,,11530
2015,Andrew Cashner,Padres,184.2,96.2,,,95.6,86.7,86.6,81.7,,,,8782
2018,Jose Urena,Marlins,174,96.2,,,,90.2,86.7,,,,,11589
2017,Michael Fulmer,Tigers,164.2,96.2,,,96.4,88.3,89.7,78.9,,,,13218
2015,Garrett Richards,Angels,207.1,96.2,,,96.2,91.6,88,80.3,,,,9784
2013,Stephen Strasburg,Nationals,183,96.2,,,95.4,88.9,,80.7,,,,10131
2010,David Price,Rays,208.2,96.2,,,93.5,84.9,87.2,78.4,,,,3184
2015,Chris Archer,Rays,212,96.2,,,,86.9,88.7,,,,,6345
2014,Zack Wheeler,Mets,185.1,96.2,,,95.7,89.2,90,79.6,,,,10310
2012,Jeff Samardzija,Cubs,174.2,96.1,92.4,86.8,95.6,,85.1,78,,,,3254
2013,Jose Fernandez,Marlins,172.2,96.1,,,94.2,87.6,,82.6,65.2,,,11530
